formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C12H26O5	[M + H]+	C12H27O5+	Fatty acids	0.986	Fatty acyls	0.924	Fatty alcohols	0.865	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Alcohols and polyols	0.976	Secondary alcohols	0.695	Secondary alcohols	0.695	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Secondary alcohols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	251.185	89	603011940649493839	603010774138032826	133
1	C13H29NO6	[M + H]+	C13H30NO6+	Fatty acids	0.296	Ornithine alkaloids	0.027	Polyamines	0.033	Organic oxygen compounds	0.998	Organooxygen compounds	0.996	Ethers	0.995	Dialkyl ethers	0.996	Dialkyl ethers	0.996	Organic compounds; Ethers; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	296.207	89	603011920172899132	603010774259667647	134
1	C14H18O5	[M + H]+	C14H19O5+	Terpenoids	0.372	Sesquiterpenoids	0.281	Bisabolane sesquiterpenoids	0.417	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Alcohols and polyols	0.609	Secondary alcohols	0.547	Secondary alcohols	0.547	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Ethers; Organic acids and derivatives; Organooxygen compounds; Secondary alcohols; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	267.122	90	603011954239039808	603010774406468292	135
1	C15H33NO7	[M + H]+	C15H34NO7+	Alkaloids	0.450	Ornithine alkaloids	0.079	Polyamines	0.072	Organic oxygen compounds	0.997	Organooxygen compounds	0.997	Ethers	0.996	Dialkyl ethers	0.997	Dialkyl ethers	0.997	Organic compounds; Ethers; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	340.233	90	603011943048636136	603010774570046153	136
1	C15H32O6	[M + H]+	C15H33O6+	Fatty acids	0.985	Fatty acyls	0.945	Fatty alcohols	0.898	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Alcohols and polyols	0.985	Secondary alcohols	0.786	Secondary alcohols	0.786	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Secondary alcohols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	309.227	90	603011940553024800	603010774758789838	137
2	C14H29NO11	[M + H]+	C14H30NO11+	Carbohydrates	0.649	Polyols	0.319	Aminosugars	0.139	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Alcohols and polyols	0.864	Secondary alcohols	0.573	Secondary alcohols	0.573	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Secondary alcohols; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	388.183	90	603011945305171889	603010774901396179	140
1	C8H8O	[M + H]+	C8H9O+	Shikimates and Phenylpropanoids	0.761	Phenolic acids (C6-C1)	0.794	Simple phenolic acids	0.613	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbonyl compounds	0.947	Aldehydes	0.986	Hydroxybenzaldehydes	0.681	Organic compounds; Aldehydes; Benzoyl derivatives; Organooxygen compounds; Benzaldehydes; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl-aldehydes; Organic oxides; Hydroxybenzaldehydes; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	121.065	90	603011938002887557	603010775090139864	141
1	C22H26O6	[M + H]+	C22H27O6+	Shikimates and Phenylpropanoids	0.932	Phenylethanoids (C6-C2)	0.083	Phenylethanoids	0.084	Benzenoids	0.999	Benzene and substituted derivatives	0.995	Benzylethers	0.506			Benzylethers	0.506	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organooxygen compounds; Dialkyl ethers; 1,3-dioxanes; Acetals; Secondary alcohols; Oxanes; Benzene and substituted derivatives; Benzenoids; Benzylethers; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	387.180	90	603011949931489379	603010775387935458	143
1	C9H20O5	[M + H]+	C9H21O5+	Fatty acids	0.797	Fatty acyls	0.537	Fatty alcohols	0.404	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.998	Dialkyl ethers	0.997	Polyethylene glycols	0.974	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	209.138	91	603011951722457298	603010775874474732	147
1	C9H20O4	[M + H]+	C9H21O4+	Fatty acids	0.984	Fatty acyls	0.933	Fatty alcohols	0.888	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Alcohols and polyols	0.971	Secondary alcohols	0.666	Secondary alcohols	0.666	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Secondary alcohols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	193.143	88	603011919480838800	603010776079995633	149
1	C19H37N5O6	[M + H]+	C19H38N5O6+	Amino acids and Peptides	0.187	Small peptides	0.105	Polyamines	0.081	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Ethers	0.720	Dialkyl ethers	0.778	Dialkyl ethers	0.778	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	432.280	91	603011934743912900	603010776272933622	151
1	C21H41N5O7	[M + H]+	C21H42N5O7+	Alkaloids	0.228	Small peptides	0.069	Polyamines	0.072	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Ethers	0.923	Dialkyl ethers	0.960	Polyethylene glycols	0.673	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Amines; Primary amines; Polyethylene glycols; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	476.306	91	603011955275032995	603010776411345659	152
1	C8H12N4	[M + H]+	C8H13N4+	Alkaloids	0.887	Histidine alkaloids	0.054	Imidazole alkaloids	0.054	Organoheterocyclic compounds	0.998	Diazines	0.927	Pyrimidines and pyrimidine derivatives	0.875	Aminopyrimidines and derivatives	0.853	Aminopyrimidines and derivatives	0.853	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Aminopyrimidines and derivatives; Diazines; Amines; Primary amines; Imidolactams; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	165.112	93	603011919451478658	603010776553952000	153
1	C17H33N5O5	[M + H]+	C17H34N5O5+	Alkaloids	0.226	Small peptides	0.191	Polyamines	0.140	Organic acids and derivatives	0.643	Carboxylic acids and derivatives	0.615	Amino acids, peptides, and analogues	0.605	Amino acids and derivatives	0.599	Amino acids and derivatives	0.599	Organic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Dialkyl ethers; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	388.254	92	603011965035178900	603010776717529861	155
1	C15H29N5O4	[M + H]+	C15H30N5O4+	Carbohydrates	0.338	Ornithine alkaloids	0.198	Polyamines	0.210	Organic oxygen compounds	1.000	Organooxygen compounds	0.998	Ethers	0.440	Dialkyl ethers	0.525	Dialkyl ethers	0.525	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	344.228	92	603011956009036299	603010776998548239	157
1	C10H9NO	[M + H]+	C10H10NO+	Alkaloids	0.980	Tryptophan alkaloids	0.464	Quinazoline alkaloids	0.409	Benzenoids	0.970							Benzenoids	0.970	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Benzenoids; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	160.076	92	603011965400083475	603010777258595097	160
1	C7H8N4	[M + H]+	C7H9N4+	Alkaloids	0.920	Peptide alkaloids	0.181	Pyrazine and Piperazine alkaloids	0.189	Organoheterocyclic compounds	1.000	Diazines	0.845	Pyrimidines and pyrimidine derivatives	0.632			Pyrimidines and pyrimidine derivatives	0.632	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Azoles; Diazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	149.082	92	603011961541323411	603010777376035614	161
1	C10H22O6	[M + H]+	C10H23O6+	Fatty acids	0.776	Fatty acyls	0.526	Fatty alcohols	0.446	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.991	Dialkyl ethers	0.991	Polyethylene glycols	0.986	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	239.149	106	603011975814547957	603010777552196387	162
1	C10H15N5O2	[M + H]+	C10H16N5O2+	Amino acids and Peptides	0.930	Small peptides	0.915	Dipeptides	0.455	Organic acids and derivatives	0.971	Carboxylic acids and derivatives	0.910	Amino acids, peptides, and analogues	0.870	Amino acids and derivatives	0.864	Alpha amino acids and derivatives	0.681	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	238.130	93	603011944906712953	603010777690608424	164
1	C19H37NO7	[M + H]+	C19H38NO7+	Amino acids and Peptides	0.414	Aminosugars and aminoglycosides	0.157	N-acyl amines	0.081	Organic nitrogen compounds	0.992	Organonitrogen compounds	0.978	Amines	0.828	Alkanolamines	0.565	1,2-aminoalcohols	0.655	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Organooxygen compounds; Dialkyl ethers; Acetals; Secondary alcohols; 1,2-aminoalcohols; Amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	392.264	93	603011965886622887	603010777812243245	165
1	C12H16N4OS	[M + H]+	C12H17N4OS+	Alkaloids	0.213	Nucleosides	0.008	Imidazole alkaloids	0.005	Organoheterocyclic compounds	1.000	Diazines	0.993	Pyrimidines and pyrimidine derivatives	0.992	Thiamines	0.875	Thiamines	0.875	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Thiazoles; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Aminopyrimidines and derivatives; Thiamines; Diazines; Amines; Primary amines; 4,5-disubstituted thiazoles; Imidolactams; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	265.112	93	603011969497923300	603010777971626802	166
1	C10H13N3O2	[M + H]+	C10H14N3O2+	Alkaloids	0.966	Histidine alkaloids	0.414	Imidazole alkaloids	0.415	Organoheterocyclic compounds	0.999	Diazines	0.844	Pyrimidines and pyrimidine derivatives	0.833	Aminopyrimidines and derivatives	0.587	Aminopyrimidines and derivatives	0.587	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Aminopyrimidines and derivatives; Diazines; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	208.108	93	603011933812777320	603010778122621751	167
1	C17H31NO5	[M + H]+	C17H32NO5+	Fatty acids	0.789	Fatty amides	0.787	N-acyl amines	0.202	Lipids and lipid-like molecules	0.541	Fatty Acyls	0.565					Fatty Acyls	0.565	Organic compounds; Lipids and lipid-like molecules; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	330.227	93	603011921263418292	603010778298782524	168
1	C16H31NO6	[M + H]+	C16H32NO6+	Fatty acids	0.698	Fatty amides	0.604	N-acyl amines	0.416	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Alcohols and polyols	0.843	Secondary alcohols	0.736	Secondary alcohols	0.736	Organic compounds; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Acetals; Secondary alcohols; Carbonyl compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	334.222	93	603011917425629408	603010778441388865	169
1	C12H14N4O2	[M + H]+	C12H15N4O2+	Alkaloids	0.867	Histidine alkaloids	0.324	Imidazole alkaloids	0.325	Organoheterocyclic compounds	0.996	Diazines	0.521					Diazines	0.521	Organic compounds; Organoheterocyclic compounds; Imidazoles; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Diazines; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	247.119	95	603011926657294228	603010778667881286	171
1	C27H44O5	[M + Na]+	C27H44NaO5+	Terpenoids	0.852	Diterpenoids	0.176	Open-chain polyketides	0.067	Lipids and lipid-like molecules	0.892	Prenol lipids	0.727					Prenol lipids	0.727	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Prenol lipids; Organic acids and derivatives; Organooxygen compounds; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	471.306	94	603011934563557804	603010778844042059	172
1	C12H16N4O3	[M + H]+	C12H17N4O3+	Alkaloids	0.825	Small peptides	0.129	Purine alkaloids	0.063	Organoheterocyclic compounds	0.996	Diazines	0.816	Pyrimidines and pyrimidine derivatives	0.801	Aminopyrimidines and derivatives	0.715	Aminopyrimidines and derivatives	0.715	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Organooxygen compounds; Aminopyrimidines and derivatives; Diazines; Amines; Primary amines; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	265.129	95	603011924572724822	603010779011814224	173
1	C12H16N4O3S	[M + H]+	C12H17N4O3S+	Amino acids and Peptides	0.401	Small peptides	0.156	Aminoacids	0.082	Organoheterocyclic compounds	1.000	Diazines	0.984	Pyrimidines and pyrimidine derivatives	0.982	Thiamines	0.590	Thiamines	0.590	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Thiazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Aminopyrimidines and derivatives; Thiamines; Diazines; Carbonyl compounds; Amines; Primary amines; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	297.101	95	603011936945922765	603010779150226261	175
1	C13H20N4O3	[M + H]+	C13H21N4O3+	Amino acids and Peptides	0.697	Small peptides	0.759	Imidazole alkaloids	0.381	Organic acids and derivatives	0.967	Carboxylic acids and derivatives	0.949	Amino acids, peptides, and analogues	0.886	Amino acids and derivatives	0.883	Alpha amino acids and derivatives	0.530	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Aminopyrimidines and derivatives; Diazines; Carbonyl compounds; Amines; Primary amines; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	281.161	95	603011921728986099	603010779485770591	177
2	C18H22N6O4	[M + H3N + H]+	C18H26N7O4+	Carbohydrates	0.899	Pseudoalkaloids (transamidation)	0.547	Purine nucleosides	0.515	Organoheterocyclic compounds	0.999	Imidazopyrimidines	0.958	Purines and purine derivatives	0.964	6-aminopurines	0.813	6-aminopurines	0.813	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Ethers; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; Toluenes; Aminopyrimidines and derivatives; Diazines; Secondary alcohols; Imidazopyrimidines; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Benzenoids; Amines; Secondary amines; 6-aminopurines; Imidolactams; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	404.206	90	603011946152421365	603010779674514276	181
1	C10H13NO2	[M + H]+	C10H14NO2+	Amino acids and Peptides	0.975	Small peptides	0.984	Aminoacids	0.864	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.999	Amino acids and derivatives	0.999	Phenylalanine and derivatives	0.931	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Alpha amino acid esters; Monoalkylamines; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Methyl esters; Aralkylamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	180.102	97	603011922366520463	603010779842286441	184
1	C23H45N5O8	[M + H]+	C23H46N5O8+	Alkaloids	0.179	Small peptides	0.140	Aminoacids	0.050	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Ethers	0.938	Dialkyl ethers	0.967	Polyethylene glycols	0.628	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Amines; Primary amines; Polyethylene glycols; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	520.333	92	603011974921160967	603010779993281390	185
1	C33H61NO6	[M + H]+	C33H62NO6+	Fatty acids	0.999	Spingolipids	0.906	Neutral glycosphingolipids	0.649	Lipids and lipid-like molecules	0.957	Fatty Acyls	0.965	Fatty amides	0.900	N-acyl amines	0.886	N-acyl amines	0.886	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	568.457	94	603011918365153687	603010780211385203	186
1	C31H57NO6	[M + H]+	C31H58NO6+	Fatty acids	0.998	Spingolipids	0.916	Neutral glycosphingolipids	0.476	Lipids and lipid-like molecules	0.951	Fatty Acyls	0.955	Fatty amides	0.864	N-acyl amines	0.853	N-acyl amines	0.853	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	540.426	99	603011923582868843	603010780412711800	187
1	C11H16N4O2	[M + H]+	C11H17N4O2+	Alkaloids	0.521	Small peptides	0.236	Imidazole alkaloids	0.073	Organic acids and derivatives	0.942	Carboxylic acids and derivatives	0.914	Amino acids, peptides, and analogues	0.631	Amino acids and derivatives	0.628	Amino acids and derivatives	0.628	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Aminopyrimidines and derivatives; Diazines; Carbonyl compounds; Amines; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	237.134	100	603011926808289209	603010780572095357	188
1	C8H19N3O5	[M + H]+	C8H20N3O5+	Amino acids and Peptides	0.998	Small peptides	0.997	Aminoacids	0.979	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.990	Amino acids and derivatives	0.989	Alpha amino acids	0.928	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	238.138	104	603011926166560572	603010780748256130	189
1	C21H41N5O7	[M + H]+	C21H42N5O7+	Alkaloids	0.177	Ornithine alkaloids	0.092	Polyamines	0.160	Organic acids and derivatives	0.627	Carboxylic acids and derivatives	0.517	Amino acids, peptides, and analogues	0.555	Amino acids and derivatives	0.549	Amino acids and derivatives	0.549	Organic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Dialkyl ethers; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	476.306	104	603011962011085467	603010780895056775	190
1	C15H24N2	[M + H]+	C15H25N2+	Alkaloids	0.841	Histidine alkaloids	0.634	Imidazole alkaloids	0.636	Organoheterocyclic compounds	0.996	Azoles	0.996	Imidazoles	0.993	Substituted imidazoles	0.978	N-substituted imidazoles	0.975	Organic compounds; Organoheterocyclic compounds; Imidazoles; Organonitrogen compounds; Azoles; Substituted imidazoles; N-substituted imidazoles; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	233.201	105	603011924644028019	603010781507425174	193
1	C19H37N5O6	[M + H]+	C19H38N5O6+	Alkaloids	0.164	Ornithine alkaloids	0.085	Polyamines	0.061	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.987	Alkanolamines	0.630	Alkanolamines	0.630	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Amines; Primary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	432.280	106	603011917652121878	603010781696168859	195
1	C17H33N5O5	[M + H]+	C17H34N5O5+	Amino acids and Peptides	0.284	Small peptides	0.150	Polyamines	0.094	Benzenoids	0.660	Benzene and substituted derivatives	0.726					Benzene and substituted derivatives	0.726	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Alkanolamines; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	388.254	106	603011939110183959	603010781897495456	196
1	C14H30O8	[M + H3N + H]+	C14H34NO8+	Fatty acids	0.952	Fatty acyls	0.737	Fatty alcohols	0.745	Organic oxygen compounds	0.999	Organooxygen compounds	0.998	Ethers	0.952	Dialkyl ethers	0.941	Polyethylene glycols	0.879	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	344.228	106	603011931858231498	603010782086239141	197
1	C14H30O8	[M + H]+	C14H31O8+	Fatty acids	0.829	Fatty acyls	0.514	Fatty alcohols	0.441	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.992	Dialkyl ethers	0.993	Polyethylene glycols	0.992	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	327.201	106	603011973876778906	603010782249817002	198
